epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1229.88,1.25244,1.07971,1.402,0.84994,0.77487,0.85502,0.56435,1.13281,0.81958,1.21364,0.00132868,0.00132868,0.00132868
43,1251.83,1.27121,1.08466,1.39926,0.81616,0.77689,0.86421,0.57714,1.12047,0.83657,1.19589,0.00132043,0.00132043,0.00132043
44,1277.06,1.26947,1.07311,1.40309,0.82912,0.78009,0.85418,0.56994,1.12941,0.86505,1.22432,0.00131218,0.00131218,0.00131218
45,1302.01,1.26529,1.08121,1.40854,0.8264,0.79329,0.86997,0.58383,1.09887,0.73914,1.19571,0.00130393,0.00130393,0.00130393
46,1326.59,1.2468,1.04706,1.38367,0.81456,0.7663,0.84295,0.55527,1.11593,0.82208,1.19713,0.00129568,0.00129568,0.00129568
47,1349.86,1.24243,1.06766,1.38015,0.86189,0.79239,0.86968,0.57747,1.10361,0.77694,1.19032,0.00128742,0.00128742,0.00128742
48,1374.2,1.27073,1.1024,1.40042,0.77927,0.81116,0.86929,0.58042,1.07945,0.77631,1.18917,0.00127917,0.00127917,0.00127917
49,1398.54,1.2655,1.06082,1.40217,0.86307,0.78822,0.88035,0.58692,1.12154,0.73358,1.23128,0.00127092,0.00127092,0.00127092
50,1424.59,1.25334,1.05812,1.39308,0.86726,0.76847,0.87093,0.5942,1.08275,0.78331,1.20519,0.00126267,0.00126267,0.00126267
51,1449.9,1.26366,1.07761,1.39651,0.86825,0.76635,0.862,0.56862,1.11548,0.74636,1.21141,0.00125442,0.00125442,0.00125442
52,1472.61,1.24453,1.05425,1.38933,0.88752,0.78325,0.87482,0.58986,1.11019,0.73625,1.20604,0.00124617,0.00124617,0.00124617
53,1496.41,1.25182,1.07597,1.40075,0.84696,0.812,0.87754,0.59772,1.08788,0.75436,1.19492,0.00123791,0.00123791,0.00123791
54,1521.71,1.24867,1.04725,1.38904,0.86417,0.79445,0.88231,0.59429,1.09281,0.75822,1.1863,0.00122966,0.00122966,0.00122966
55,1544.95,1.2433,1.06345,1.38714,0.84804,0.79345,0.86736,0.57234,1.09763,0.82149,1.22098,0.00122141,0.00122141,0.00122141
56,1569.13,1.24567,1.05803,1.3888,0.86365,0.79115,0.88234,0.60221,1.07425,0.75572,1.19786,0.00121316,0.00121316,0.00121316
57,1594.63,1.25417,1.05272,1.4158,0.84112,0.82251,0.87133,0.58255,1.0902,0.79368,1.22336,0.00120491,0.00120491,0.00120491
58,1618.66,1.2522,1.04723,1.39658,0.87883,0.79398,0.88529,0.59822,1.10173,0.71806,1.2159,0.00119666,0.00119666,0.00119666
59,1642.32,1.23813,1.06656,1.38158,0.82487,0.80702,0.86753,0.57308,1.09637,0.75958,1.19705,0.0011884,0.0011884,0.0011884
60,1664.86,1.24719,1.06532,1.38382,0.84809,0.79991,0.88451,0.59564,1.08924,0.71855,1.20132,0.00118015,0.00118015,0.00118015
61,1689.03,1.23925,1.05017,1.38439,0.83621,0.8035,0.88073,0.59604,1.08616,0.7539,1.19264,0.0011719,0.0011719,0.0011719
62,1712.61,1.2202,1.0131,1.36705,0.85994,0.82428,0.8891,0.60702,1.06356,0.70246,1.1745,0.00116365,0.00116365,0.00116365
63,1739.37,1.23137,0.99708,1.37405,0.84214,0.80252,0.86455,0.58374,1.09801,0.77407,1.18888,0.0011554,0.0011554,0.0011554
