epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,4536.81,1.05373,0.78841,1.26282,0.89194,0.81554,0.92509,0.67611,0.92166,0.55974,1.09201,0.000198206,0.000198206,0.000198206
180,4561.2,1.05741,0.79085,1.25786,0.85165,0.86542,0.92778,0.68202,0.91962,0.55242,1.08804,0.000189955,0.000189955,0.000189955
181,4586.43,1.03889,0.7973,1.25985,0.89308,0.82336,0.92931,0.68245,0.91599,0.54685,1.09024,0.000181703,0.000181703,0.000181703
182,4611.48,1.05881,0.7988,1.26335,0.85899,0.85655,0.92578,0.68109,0.91056,0.55901,1.09139,0.000173451,0.000173451,0.000173451
183,4635.57,1.04899,0.79551,1.26146,0.87455,0.84314,0.92876,0.68087,0.9121,0.55126,1.10037,0.0001652,0.0001652,0.0001652
184,4659.46,1.05175,0.78873,1.26794,0.85509,0.86272,0.93215,0.68985,0.90405,0.53759,1.09237,0.000156948,0.000156948,0.000156948
185,4685.39,1.06895,0.80506,1.2669,0.884,0.83713,0.92632,0.68132,0.91439,0.54543,1.09482,0.000148696,0.000148696,0.000148696
186,4709.68,1.04251,0.77578,1.24752,0.88066,0.82887,0.92489,0.68134,0.91218,0.55016,1.09477,0.000140445,0.000140445,0.000140445
187,4733.2,1.05096,0.78328,1.25931,0.86575,0.84977,0.92679,0.68397,0.9114,0.5502,1.09306,0.000132193,0.000132193,0.000132193
188,4756.11,1.04922,0.79625,1.25361,0.87002,0.8451,0.92809,0.68548,0.90514,0.54229,1.08606,0.000123941,0.000123941,0.000123941
189,4780.24,1.05504,0.79039,1.26068,0.86606,0.84441,0.9244,0.68161,0.90983,0.54906,1.09067,0.00011569,0.00011569,0.00011569
190,4806.24,1.06093,0.78492,1.26913,0.85434,0.85776,0.92471,0.68458,0.90731,0.54203,1.09336,0.000107438,0.000107438,0.000107438
191,4826.86,0.84146,0.6321,1.12511,0.8833,0.82558,0.9154,0.66907,0.91839,0.58422,1.1046,9.91865e-05,9.91865e-05,9.91865e-05
192,4847.85,0.83847,0.56345,1.11487,0.86932,0.8399,0.92247,0.67447,0.91501,0.57331,1.10344,9.09349e-05,9.09349e-05,9.09349e-05
193,4867.42,0.83261,0.55324,1.11958,0.87237,0.85999,0.92775,0.68262,0.90885,0.5582,1.09571,8.26832e-05,8.26832e-05,8.26832e-05
194,4887.66,0.83165,0.54121,1.11103,0.86328,0.85684,0.92657,0.68005,0.906,0.55539,1.0925,7.44316e-05,7.44316e-05,7.44316e-05
195,4907.67,0.81436,0.52985,1.10735,0.87057,0.85672,0.92923,0.68542,0.89924,0.55244,1.08736,6.61799e-05,6.61799e-05,6.61799e-05
196,4926.77,0.81868,0.51878,1.10729,0.8549,0.85509,0.92495,0.68369,0.90014,0.5521,1.08744,5.79283e-05,5.79283e-05,5.79283e-05
197,4948.11,0.80506,0.52438,1.11303,0.85508,0.85391,0.92835,0.68708,0.89626,0.54732,1.08463,4.96766e-05,4.96766e-05,4.96766e-05
198,4967.92,0.8156,0.51578,1.10842,0.86192,0.84992,0.9291,0.68935,0.89708,0.54595,1.08607,4.1425e-05,4.1425e-05,4.1425e-05
199,4988.56,0.81994,0.52426,1.11195,0.8688,0.84507,0.92795,0.68593,0.89664,0.54893,1.08414,3.31733e-05,3.31733e-05,3.31733e-05
200,5007.61,0.81297,0.50983,1.10549,0.87081,0.8465,0.92728,0.68555,0.89802,0.54941,1.08436,2.49217e-05,2.49217e-05,2.49217e-05
